pitcher_name,line,over_odds,under_odds,bookmaker,timestamp,Date,expected_innings,projected_ks,edge_over,edge_under
Andrew Heaney,4.5,-123,-107,pinnacle,5/21/2025 10:00,5/21/2025,5.58,4.82,0.021,-0.0895
Brady Singer,4.5,-160,120,pinnacle,5/21/2025 10:00,5/21/2025,5.13,4.78,-0.0518,-0.0181
Tomoyuki Sugano,3.5,-145,109,pinnacle,5/21/2025 10:00,5/21/2025,5.8,4.4,0.1046,-0.1749
Chad Patrick,4.5,-116,-114,pinnacle,5/21/2025 10:00,5/21/2025,4.81,4.64,-0.0052,-0.0646
Max Meyer,5.5,-115,-115,pinnacle,5/21/2025 10:00,5/21/2025,5.57,4.75,-0.2008,0.131
Cade Horton,4.5,-135,102,pinnacle,5/21/2025 10:00,5/21/2025,4.5,4.17,-0.1493,0.0797
Taj Bradley,4.5,-171,128,pinnacle,5/21/2025 10:00,5/21/2025,5.58,5.84,0.1471,-0.2167
Hunter Brown,6.5,-128,-104,pinnacle,5/21/2025 10:00,5/21/2025,6.24,7.04,0.0598,-0.131
Andre Pallante,4.5,117,-157,pinnacle,5/21/2025 10:00,5/21/2025,5.57,4.18,-0.0334,-0.0383
Brant Hurter,1.5,-171,126,pinnacle,5/21/2025 10:00,5/21/2025,1.77,1.27,-0.1833,0.1098
Shane Smith,5.5,143,-196,pinnacle,5/21/2025 10:00,5/21/2025,5.34,5.11,0.0003,-0.074
Logan Evans,3.5,-108,-122,pinnacle,5/21/2025 10:00,5/21/2025,5.25,4.57,0.2103,-0.2791
Logan Webb,5.5,122,-162,pinnacle,5/21/2025 10:00,5/21/2025,6.31,4.76,-0.1143,0.0455
Trevor Williams,4.5,135,-181,pinnacle,5/21/2025 10:00,5/21/2025,5.02,3.79,-0.0831,0.0134
AJ Smith-Shawver,5.5,133,-178,pinnacle,5/21/2025 10:00,5/21/2025,5.46,4.97,-0.0482,-0.0213
Tylor Megill,5.5,-137,103,pinnacle,5/21/2025 10:00,5/21/2025,4.79,4.89,-0.2144,0.1437
Garrett Crochet,7.5,121,-161,pinnacle,5/21/2025 10:00,5/21/2025,6.3,8.13,0.1881,-0.2574
Ryan Yarbrough,3.5,160,-217,pinnacle,5/21/2025 10:00,5/21/2025,2.41,1.89,-0.2058,0.1367
Jacob deGrom,6.5,100,-132,pinnacle,5/21/2025 10:00,5/21/2025,5.67,8.94,0.4184,-0.4873
Kevin Gausman,4.5,-126,-105,pinnacle,5/21/2025 10:00,5/21/2025,5.67,4.58,-0.0393,-0.0304
Randy Vasquez,2.5,-139,104,pinnacle,5/21/2025 10:00,5/21/2025,4.9,3.03,0.0374,-0.1092
Taijuan Walker,3.5,-123,-107,pinnacle,5/21/2025 10:00,5/21/2025,4.26,3.4,-0.0744,0.0059
Carson Palmquist,3.5,-124,-107,pinnacle,5/21/2025 10:00,5/21/2025,4,3.21,-0.1194,0.0489
JP Sears,4.5,100,-132,pinnacle,5/21/2025 10:00,5/21/2025,5.44,4.45,-0.0114,-0.0576
Jack Kochanowicz,3.5,136,-185,pinnacle,5/21/2025 10:00,5/21/2025,5.47,2.96,-0.0449,-0.0279
Dustin May,4.5,142,-196,pinnacle,5/21/2025 10:00,5/21/2025,5.52,5.22,0.2464,-0.3218
Corbin Burnes,5.5,150,-203,pinnacle,5/21/2025 10:00,5/21/2025,5.65,5.31,0.0568,-0.1267
